"","age","workclass","educationnum","maritalstatus","occupation","sex","hoursperweek","X50k"
"1",50," Self-emp-not-inc",16,"Married"," Exec-managerial",2,13,1
"2",38," Private",12,"DSW"," Handlers-cleaners",2,40,1
"3",53," Private",10,"Married"," Handlers-cleaners",2,40,1
"4",28," Private",16,"Married"," Prof-specialty",1,40,1
"5",37," Private",17,"Married"," Exec-managerial",1,40,1
"6",49," Private",8,"Married"," Other-service",1,16,1
"7",52," Self-emp-not-inc",12,"Married"," Exec-managerial",2,45,2
"8",31," Private",17,"NeverMarried"," Prof-specialty",1,50,2
"9",42," Private",16,"Married"," Exec-managerial",2,40,2
"10",30," gov",16,"Married"," Prof-specialty",2,40,2
"11",23," Private",16,"NeverMarried"," Adm-clerical",1,30,1
"12",32," Private",15,"NeverMarried"," Sales",2,50,1
"13",40," Private",14,"Married"," Craft-repair",2,40,2
"14",34," Private",7,"Married"," Transport-moving",2,45,1
"15",25," Self-emp-not-inc",12,"NeverMarried"," Farming-fishing",2,35,1
"16",32," Private",12,"NeverMarried"," Machine-op-inspct",2,40,1
"17",38," Private",10,"Married"," Sales",2,50,1
"18",43," Self-emp-not-inc",17,"DSW"," Exec-managerial",1,45,2
"19",40," Private",19,"Married"," Prof-specialty",2,60,2
"20",54," Private",12,"DSW"," Other-service",1,20,1
"21",35," gov",8,"Married"," Farming-fishing",2,40,1
"22",43," Private",10,"Married"," Transport-moving",2,40,1
"23",59," Private",12,"DSW"," Tech-support",1,40,1
"24",56," gov",16,"Married"," Tech-support",2,40,2
"25",19," Private",12,"NeverMarried"," Craft-repair",2,40,1
"26",49," Private",12,"Married"," Craft-repair",2,40,1
"27",23," gov",15,"NeverMarried"," Protective-serv",2,52,1
"28",20," Private",13,"NeverMarried"," Sales",2,44,1
"29",45," Private",16,"DSW"," Exec-managerial",2,40,1
"30",30," gov",13,"Married"," Adm-clerical",2,40,1
"31",22," gov",13,"Married"," Other-service",2,15,1
"32",48," Private",10,"NeverMarried"," Machine-op-inspct",2,40,1
"33",21," Private",13,"NeverMarried"," Machine-op-inspct",2,40,1
"34",19," Private",12,"Married"," Adm-clerical",1,25,1
"35",31," Private",13,"Married"," Sales",2,38,2
"36",48," Self-emp-not-inc",15,"Married"," Prof-specialty",2,40,1
"37",31," Private",8,"Married"," Machine-op-inspct",2,43,1
"38",53," Self-emp-not-inc",16,"Married"," Prof-specialty",2,40,1
"39",24," Private",16,"Married"," Tech-support",2,50,1
"40",49," Private",12,"DSW"," Adm-clerical",1,40,1
"41",25," Private",12,"NeverMarried"," Handlers-cleaners",2,35,1
"42",57," gov",16,"Married"," Prof-specialty",2,40,2
"43",53," Private",12,"Married"," Machine-op-inspct",2,38,1
"44",44," Private",17,"DSW"," Exec-managerial",1,40,1
"45",41," gov",14,"Married"," Craft-repair",2,40,1
"46",29," Private",14,"NeverMarried"," Prof-specialty",2,43,1
"47",25," Private",13,"Married"," Exec-managerial",1,40,1
"48",18," Private",12,"NeverMarried"," Other-service",1,30,1
"49",47," Private",18,"Married"," Prof-specialty",1,60,2
"50",50," gov",16,"DSW"," Exec-managerial",2,55,2
"51",47," Self-emp-inc",12,"DSW"," Exec-managerial",2,60,1
"52",43," Private",13,"Married"," Tech-support",2,40,2
"53",46," Private",6,"Married"," Machine-op-inspct",2,40,1
"54",35," Private",14,"Married"," Other-service",2,40,1
"55",41," Private",12,"Married"," Adm-clerical",2,48,1
"56",30," Private",12,"Married"," Machine-op-inspct",2,40,1
"57",30," Private",16,"Married"," Sales",2,40,1
"58",48," Private",12,"Married"," Transport-moving",2,40,1
"59",42," Private",19,"Married"," Prof-specialty",2,45,2
"60",29," Private",13,"DSW"," Tech-support",2,58,1
"61",36," Private",12,"Married"," Craft-repair",2,40,1
"62",28," Private",13,"DSW"," Adm-clerical",1,40,1
"63",53," Private",12,"Married"," Adm-clerical",1,40,2
"64",49," Self-emp-inc",13,"Married"," Exec-managerial",2,50,2
"65",19," Private",13,"NeverMarried"," Prof-specialty",2,32,1
"66",31," Private",16,"DSW"," Sales",1,40,1
"67",29," Self-emp-not-inc",16,"Married"," Sales",2,70,2
"68",23," Private",13,"NeverMarried"," Machine-op-inspct",2,40,1
"69",27," Private",12,"NeverMarried"," Other-service",2,40,1
"70",40," Private",15,"Married"," Adm-clerical",2,40,1
"71",18," Private",10,"NeverMarried"," Other-service",1,22,1
"72",31," gov",7,"Married"," Farming-fishing",2,40,1
"73",18," Private",12,"NeverMarried"," Sales",2,30,1
"74",52," Private",16,"Married"," Other-service",2,40,1
"75",46," Private",12,"Married"," Other-service",1,40,1
"76",59," Private",12,"Married"," Sales",2,48,1
"77",44," Private",12,"DSW"," Craft-repair",1,40,2
"78",53," Private",12,"DSW"," Sales",1,35,1
"79",49," gov",12,"Married"," Protective-serv",2,40,2
"80",33," Private",17,"Married"," Prof-specialty",2,50,1
"81",30," Private",8,"NeverMarried"," Sales",2,40,1
"82",43," gov",19,"NeverMarried"," Prof-specialty",1,50,2
"83",57," Private",14,"Married"," Prof-specialty",2,40,1
"84",37," Private",13,"DSW"," Craft-repair",1,40,1
"85",28," Private",13,"DSW"," Machine-op-inspct",1,25,1
"86",30," Private",12,"Married"," Sales",1,35,1
"87",34," gov",16,"Married"," Protective-serv",2,40,2
"88",29," gov",13,"NeverMarried"," Handlers-cleaners",2,50,1
"89",48," Self-emp-not-inc",19,"Married"," Prof-specialty",2,60,2
"90",37," Private",13,"Married"," Sales",2,48,2
"91",48," Private",15,"DSW"," Exec-managerial",1,40,1
"92",32," gov",12,"NeverMarried"," Other-service",2,40,1
"93",44," Private",16,"Married"," Exec-managerial",2,60,2
"94",47," Self-emp-not-inc",17,"NeverMarried"," Prof-specialty",1,50,1
"95",20," Private",13,"NeverMarried"," Tech-support",1,40,1
"96",29," Private",12,"NeverMarried"," Craft-repair",2,40,1
